Alberto Angel Ramirez Aguilera
Practica 2B : Sniffer
Tipo de trama		MAC DESTINO		MAC ORIGEN		PROTOCOLO	TRAMA	CARGA UTIL			DIRECCION
 IEEE 802.3 		FF-FF-FF-FF-FF-FF  	34-68-95-14-02-23 		IPv4  		295  	281			DIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	E8-80-2E-CF-2D-FE 		IPv6  		90  		76			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	E8-80-2E-CF-2D-FE 		IPv4  		46  		32			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		60  		46			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	E8-80-2E-CF-2D-FE 		IPv4  		46  		32			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	E8-80-2E-CF-2D-FE 		IPv4  		130  	116			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	E8-80-2E-CF-2D-FE 		IPv6  		150  	136			MULTIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		01-00-5E-00-00-16  	34-68-95-14-02-23 		IPv4  		54  		40			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	E8-80-2E-CF-2D-FE 		IPv6  		90  		76			MULTIDIFUSION
 IEEE 802.3 		33-33-00-00-00-02  	98-00-C6-23-BF-73 		IPv6  		70  		56			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	98-00-C6-23-BF-73 		IPv6  		90  		76			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	98-00-C6-23-BF-73 		IPv4  		144  	130			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	98-00-C6-23-BF-73 		IPv6  		164  	150			MULTIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		66  		52			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		66  		52			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		66  		52			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		66  		52			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	E8-80-2E-CF-2D-FE 		IPv4  		130  	116			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	E8-80-2E-CF-2D-FE 		IPv6  		150  	136			MULTIDIFUSION
 IEEE 802.3 		33-33-00-00-00-02  	E8-80-2E-CF-2D-FE 		IPv6  		70  		56			MULTIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		97  		83			MULTIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		66  		52			MULTIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		66  		52			MULTIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		66  		52			MULTIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		100  		86			UNIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		100  		86			MULTIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		54  		40			UNIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		112  	98			UNIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		97  		83			UNIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		66  		52			UNIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		112  	98			MULTIDIFUSION
 IEEE 802.3 		00-00-CA-11-22-33  	34-68-95-14-02-23 		IPv4  		54  		40			UNIDIFUSION
 IEEE 802.3 		34-68-95-14-02-23  	00-00-CA-11-22-33 		IPv4  		97  		83			MULTIDIFUSION
